訓練資料來源                訓練資料筆數  驗證資料筆數 訓練次數 驗證時k值  lr  epoch word_ngrams 精確度平均 精確度標準差 召回率平均 召回率標準差
intro                         11381        1138       10        1     0.6    5         1       64.508%    1.388%    64.508%    1.388%
intro                         11381        1138       10        1     0.6   20         1       64.666%    1.498%    64.666%    1.498%
intro                         11381        1138       10        1     0.6   35         1       64.505%    1.356%    64.505%    1.356%
intro                         11381        1138       10        1     0.6   50         1       64.824%    1.152%    64.824%    1.152%

訓練資料來源                訓練資料筆數  驗證資料筆數 訓練次數 驗證時k值  lr  epoch word_ngrams 精確度平均 精確度標準差 召回率平均 召回率標準差
ingres                        28582        2858       10        1     0.2    5         1       78.789%    0.607%    78.789%    0.607%
ingres                        28582        2858       10        1     0.2   20         1       79.223%    0.568%    79.223%    0.568%
ingres                        28582        2858       10        1     0.2   35         1       78.954%    0.531%    78.954%    0.531%
ingres                        28582        2858       10        1     0.2   50         1       79.150%    0.881%    79.150%    0.881%
ingres                        28582        2858       10        1     0.4    5         1       79.202%    0.396%    79.202%    0.396%
ingres                        28582        2858       10        1     0.4   20         1       79.363%    0.706%    79.363%    0.706%
ingres                        28582        2858       10        1     0.4   35         1       79.129%    0.651%    79.129%    0.651%
ingres                        28582        2858       10        1     0.4   50         1       78.279%    0.511%    78.279%    0.511%
ingres                        28582        2858       10        1     0.6    5         1       78.940%    0.635%    78.940%    0.635%
ingres                        28582        2858       10        1     0.6   20         1       78.817%    0.596%    78.817%    0.596%
ingres                        28582        2858       10        1     0.6   35         1       78.607%    0.779%    78.607%    0.779%
ingres                        28582        2858       10        1     0.6   50         1       78.436%    0.560%    78.436%    0.560%

訓練資料來源                訓練資料筆數  驗證資料筆數 訓練次數 驗證時k值  lr  epoch word_ngrams 精確度平均 精確度標準差 召回率平均 召回率標準差
steps                         33761        3376       10        1     0.2    5         1       73.537%    0.560%    73.537%    0.560%
steps                         33761        3376       10        1     0.2   20         1       73.166%    0.542%    73.166%    0.542%
steps                         33761        3376       10        1     0.2   35         1       73.501%    0.785%    73.501%    0.785%
steps                         33761        3376       10        1     0.2   50         1       73.252%    0.664%    73.252%    0.664%
steps                         33761        3376       10        1     0.4    5         1       73.380%    0.443%    73.380%    0.443%
steps                         33761        3376       10        1     0.4   20         1       73.578%    0.755%    73.578%    0.755%
steps                         33761        3376       10        1     0.4   35         1       73.534%    0.787%    73.534%    0.787%
steps                         33761        3376       10        1     0.4   50         1       73.024%    0.752%    73.024%    0.752%
steps                         33761        3376       10        1     0.6    5         1       73.466%    0.621%    73.466%    0.621%
steps                         33761        3376       10        1     0.6   20         1       73.519%    0.718%    73.519%    0.718%
steps                         33761        3376       10        1     0.6   35         1       73.181%    0.727%    73.181%    0.727%
steps                         33761        3376       10        1     0.6   50         1       73.377%    0.832%    73.377%    0.832%

訓練資料來源                訓練資料筆數  驗證資料筆數 訓練次數 驗證時k值  lr  epoch word_ngrams 精確度平均 精確度標準差 召回率平均 召回率標準差
name_intro                    11381        1138       10        1     0.2    5         1       70.472%    1.046%    70.472%    1.046%
name_intro                    11381        1138       10        1     0.2   20         1       71.931%    1.526%    71.931%    1.526%
name_intro                    11381        1138       10        1     0.2   35         1       71.731%    0.749%    71.731%    0.749%
name_intro                    11381        1138       10        1     0.2   50         1       72.133%    1.733%    72.133%    1.733%
name_intro                    11381        1138       10        1     0.4    5         1       71.588%    0.945%    71.588%    0.945%
name_intro                    11381        1138       10        1     0.4   20         1       70.929%    1.403%    70.929%    1.403%
name_intro                    11381        1138       10        1     0.4   35         1       70.852%    1.781%    70.852%    1.781%
name_intro                    11381        1137       10        1     0.4   50         1       71.638%    1.522%    71.638%    1.522%
name_intro                    11381        1138       10        1     0.6    5         1       71.316%    0.648%    71.316%    0.648%
name_intro                    11381        1138       10        1     0.6   20         1       71.175%    1.103%    71.175%    1.103%
name_intro                    11381        1138       10        1     0.6   35         1       70.631%    1.361%    70.631%    1.361%
name_intro                    11381        1138       10        1     0.6   50         1       70.641%    1.649%    70.641%    1.649%

訓練資料來源                訓練資料筆數  驗證資料筆數 訓練次數 驗證時k值  lr  epoch word_ngrams 精確度平均 精確度標準差 召回率平均 召回率標準差
name_ingres                   28582        2858       10        1     0.2    5         1       80.098%    0.514%    80.098%    0.514%
name_ingres                   28582        2858       10        1     0.2   20         1       79.822%    0.541%    79.822%    0.541%
name_ingres                   28582        2858       10        1     0.2   35         1       79.654%    1.117%    79.654%    1.117%
name_ingres                   28582        2858       10        1     0.2   50         1       79.328%    0.873%    79.328%    0.873%
name_ingres                   28582        2858       10        1     0.4    5         1       79.696%    0.634%    79.696%    0.634%
name_ingres                   28582        2858       10        1     0.4   20         1       79.899%    0.493%    79.899%    0.493%
name_ingres                   28582        2858       10        1     0.4   35         1       78.817%    0.583%    78.817%    0.583%
name_ingres                   28582        2858       10        1     0.4   50         1       79.241%    1.005%    79.241%    1.005%
name_ingres                   28582        2858       10        1     0.6    5         1       79.661%    0.680%    79.661%    0.680%
name_ingres                   28582        2858       10        1     0.6   20         1       79.780%    0.654%    79.780%    0.654%
name_ingres                   28582        2858       10        1     0.6   35         1       79.689%    0.979%    79.689%    0.979%
name_ingres                   28582        2858       10        1     0.6   50         1       78.656%    0.772%    78.656%    0.772%

訓練資料來源                訓練資料筆數  驗證資料筆數 訓練次數 驗證時k值  lr  epoch word_ngrams 精確度平均 精確度標準差 召回率平均 召回率標準差
name_steps                    33761        3376       10        1     0.2    5         1       75.489%    0.689%    75.489%    0.689%
name_steps                    33761        3376       10        1     0.2   20         1       75.231%    0.647%    75.231%    0.647%
name_steps                    33761        3376       10        1     0.2   35         1       75.939%    0.783%    75.939%    0.783%
name_steps                    33761        3376       10        1     0.2   50         1       75.504%    0.553%    75.504%    0.553%
name_steps                    33761        3376       10        1     0.4    5         1       75.625%    0.896%    75.625%    0.896%
name_steps                    33761        3376       10        1     0.4   20         1       75.741%    0.623%    75.741%    0.623%
name_steps                    33761        3376       10        1     0.4   35         1       75.344%    0.871%    75.344%    0.871%
name_steps                    33761        3376       10        1     0.4   50         1       75.678%    0.654%    75.678%    0.654%
name_steps                    33761        3376       10        1     0.6    5         1       76.087%    0.759%    76.087%    0.759%
name_steps                    33761        3376       10        1     0.6   20         1       75.483%    0.284%    75.483%    0.284%
name_steps                    33761        3376       10        1     0.6   35         1       75.803%    0.830%    75.803%    0.830%
name_steps                    33761        3376       10        1     0.6   50         1       75.246%    0.813%    75.246%    0.813%

訓練資料來源                訓練資料筆數  驗證資料筆數 訓練次數 驗證時k值  lr  epoch word_ngrams 精確度平均 精確度標準差 召回率平均 召回率標準差
intro_ingres                  10070        1006       10        1     0.2    5         1       79.950%    0.781%    79.950%    0.781%
intro_ingres                  10070        1006       10        1     0.2   20         1       78.231%    1.366%    78.231%    1.366%
intro_ingres                  10070        1006       10        1     0.2   35         1       76.889%    1.380%    76.889%    1.380%
intro_ingres                  10070        1006       10        1     0.2   50         1       77.058%    1.056%    77.058%    1.056%
intro_ingres                  10070        1006       10        1     0.4    5         1       78.996%    1.385%    78.996%    1.385%
intro_ingres                  10070        1006       10        1     0.4   20         1       77.326%    1.460%    77.326%    1.460%
intro_ingres                  10070        1006       10        1     0.4   35         1       76.948%    0.814%    76.948%    0.814%
intro_ingres                  10070        1006       10        1     0.4   50         1       77.286%    1.150%    77.286%    1.150%
intro_ingres                  10070        1006       10        1     0.6    5         1       78.221%    1.287%    78.221%    1.287%
intro_ingres                  10070        1006       10        1     0.6   20         1       77.684%    0.776%    77.684%    0.776%
intro_ingres                  10070        1006       10        1     0.6   35         1       76.909%    1.164%    76.909%    1.164%
intro_ingres                  10070        1006       10        1     0.6   50         1       76.620%    2.053%    76.620%    2.053%

訓練資料來源                訓練資料筆數  驗證資料筆數 訓練次數 驗證時k值  lr  epoch word_ngrams 精確度平均 精確度標準差 召回率平均 召回率標準差
intro_steps                   11372        1137       10        1     0.2    5         1       71.581%    1.408%    71.581%    1.408%
intro_steps                   11372        1137       10        1     0.2   20         1       73.366%    1.059%    73.366%    1.059%
intro_steps                   11372        1137       10        1     0.2   35         1       73.500%    0.769%    73.500%    0.769%
intro_steps                   11372        1137       10        1     0.2   50         1       73.672%    0.965%    73.672%    0.965%
intro_steps                   11372        1137       10        1     0.4    5         1       73.571%    0.958%    73.571%    0.958%
intro_steps                   11372        1137       10        1     0.4   20         1       72.880%    1.478%    72.880%    1.478%
intro_steps                   11372        1137       10        1     0.4   35         1       73.294%    2.035%    73.294%    2.035%
intro_steps                   11372        1137       10        1     0.4   50         1       72.997%    1.506%    72.997%    1.506%
intro_steps                   11372        1137       10        1     0.6    5         1       74.043%    1.217%    74.043%    1.217%
intro_steps                   11372        1137       10        1     0.6   20         1       72.953%    0.967%    72.953%    0.967%
intro_steps                   11372        1137       10        1     0.6   35         1       72.011%    1.534%    72.011%    1.534%
intro_steps                   11372        1137       10        1     0.6   50         1       73.105%    1.482%    73.105%    1.482%

訓練資料來源                訓練資料筆數  驗證資料筆數 訓練次數 驗證時k值  lr  epoch word_ngrams 精確度平均 精確度標準差 召回率平均 召回率標準差
ingres_steps                  21785        2178       10        1     0.2    5         1       80.468%    0.837%    80.468%    0.837%
ingres_steps                  21785        2178       10        1     0.2   20         1       80.592%    0.415%    80.592%    0.415%
ingres_steps                  21785        2178       10        1     0.2   35         1       80.496%    0.641%    80.496%    0.641%
ingres_steps                  21785        2178       10        1     0.2   50         1       80.546%    0.770%    80.546%    0.770%
ingres_steps                  21785        2178       10        1     0.4    5         1       80.014%    0.677%    80.014%    0.677%
ingres_steps                  21785        2178       10        1     0.4   20         1       80.308%    0.853%    80.308%    0.853%
ingres_steps                  21785        2178       10        1     0.4   35         1       79.986%    0.868%    79.986%    0.868%
ingres_steps                  21785        2178       10        1     0.4   50         1       80.096%    0.535%    80.096%    0.535%
ingres_steps                  21785        2178       10        1     0.6    5         1       80.487%    0.898%    80.487%    0.898%
ingres_steps                  21785        2178       10        1     0.6   20         1       80.455%    0.508%    80.455%    0.508%
ingres_steps                  21785        2178       10        1     0.6   35         1       80.156%    0.423%    80.156%    0.423%
ingres_steps                  21785        2178       10        1     0.6   50         1       79.945%    0.962%    79.945%    0.962%

訓練資料來源                訓練資料筆數  驗證資料筆數 訓練次數 驗證時k值  lr  epoch word_ngrams 精確度平均 精確度標準差 召回率平均 召回率標準差
name_intro_ingres             10070        1006       10        1     0.2    5         1       80.080%    1.557%    80.080%    1.557%
name_intro_ingres             10070        1006       10        1     0.2   20         1       80.199%    1.038%    80.199%    1.038%
name_intro_ingres             10070        1006       10        1     0.2   35         1       79.891%    1.151%    79.891%    1.151%
name_intro_ingres             10070        1006       10        1     0.2   50         1       79.861%    1.193%    79.861%    1.193%
name_intro_ingres             10070        1006       10        1     0.4    5         1       80.895%    0.873%    80.895%    0.873%
name_intro_ingres             10070        1006       10        1     0.4   20         1       79.950%    1.223%    79.950%    1.223%
name_intro_ingres             10070        1006       10        1     0.4   35         1       80.199%    1.061%    80.199%    1.061%
name_intro_ingres             10070        1006       10        1     0.4   50         1       79.583%    1.187%    79.583%    1.187%
name_intro_ingres             10070        1006       10        1     0.6    5         1       80.249%    0.828%    80.249%    0.828%
name_intro_ingres             10070        1006       10        1     0.6   20         1       79.901%    0.924%    79.901%    0.924%
name_intro_ingres             10070        1006       10        1     0.6   35         1       79.742%    1.314%    79.742%    1.314%
name_intro_ingres             10070        1006       10        1     0.6   50         1       78.708%    0.897%    78.708%    0.897%

訓練資料來源                訓練資料筆數  驗證資料筆數 訓練次數 驗證時k值  lr  epoch word_ngrams 精確度平均 精確度標準差 召回率平均 召回率標準差
name_intro_steps              11372        1137       10        1     0.2    5         1       73.944%    0.616%    73.944%    0.616%
name_intro_steps              11372        1137       10        1     0.2   20         1       75.097%    0.779%    75.097%    0.779%
name_intro_steps              11372        1137       10        1     0.2   35         1       75.497%    1.186%    75.497%    1.186%
name_intro_steps              11372        1137       10        1     0.2   50         1       75.941%    1.229%    75.941%    1.229%
name_intro_steps              11372        1137       10        1     0.4    5         1       75.521%    1.215%    75.521%    1.215%
name_intro_steps              11372        1137       10        1     0.4   20         1       74.914%    0.939%    74.914%    0.939%
name_intro_steps              11372        1137       10        1     0.4   35         1       75.453%    0.816%    75.453%    0.816%
name_intro_steps              11372        1137       10        1     0.4   50         1       76.394%    1.103%    76.394%    1.103%
name_intro_steps              11372        1136       10        1     0.6    5         1       75.860%    1.259%    75.860%    1.259%
name_intro_steps              11372        1137       10        1     0.6   20         1       75.902%    1.153%    75.902%    1.153%
name_intro_steps              11372        1137       10        1     0.6   35         1       75.910%    1.094%    75.910%    1.094%
name_intro_steps              11372        1136       10        1     0.6   50         1       75.660%    1.055%    75.660%    1.055%

訓練資料來源                訓練資料筆數  驗證資料筆數 訓練次數 驗證時k值  lr  epoch word_ngrams 精確度平均 精確度標準差 召回率平均 召回率標準差
name_ingres_steps             21785        2178       10        1     0.2    5         1       81.061%    0.647%    81.061%    0.647%
name_ingres_steps             21785        2178       10        1     0.2   20         1       81.276%    0.476%    81.276%    0.476%
name_ingres_steps             21785        2178       10        1     0.2   35         1       81.309%    0.757%    81.309%    0.757%
name_ingres_steps             21785        2178       10        1     0.2   50         1       81.038%    1.073%    81.038%    1.073%
name_ingres_steps             21785        2178       10        1     0.4    5         1       81.524%    0.894%    81.524%    0.894%
name_ingres_steps             21785        2178       10        1     0.4   20         1       81.322%    0.438%    81.322%    0.438%
name_ingres_steps             21785        2178       10        1     0.4   35         1       81.033%    0.538%    81.033%    0.538%
name_ingres_steps             21785        2178       10        1     0.4   50         1       81.230%    0.849%    81.230%    0.849%
name_ingres_steps             21785        2178       10        1     0.6    5         1       81.134%    0.509%    81.134%    0.509%
name_ingres_steps             21785        2178       10        1     0.6   20         1       81.341%    0.803%    81.341%    0.803%
name_ingres_steps             21785        2178       10        1     0.6   35         1       81.763%    0.560%    81.763%    0.560%
name_ingres_steps             21785        2178       10        1     0.6   50         1       80.900%    0.765%    80.900%    0.765%

訓練資料來源                訓練資料筆數  驗證資料筆數 訓練次數 驗證時k值  lr  epoch word_ngrams 精確度平均 精確度標準差 召回率平均 召回率標準差
intro_ingres_steps            10068        1006       10        1     0.2    5         1       79.215%    1.119%    79.215%    1.119%
intro_ingres_steps            10068        1006       10        1     0.2   20         1       79.632%    1.807%    79.632%    1.807%
intro_ingres_steps            10068        1006       10        1     0.2   35         1       79.821%    1.619%    79.821%    1.619%
intro_ingres_steps            10068        1006       10        1     0.2   50         1       80.149%    1.085%    80.149%    1.085%
intro_ingres_steps            10068        1006       10        1     0.4    5         1       80.706%    0.887%    80.706%    0.887%
intro_ingres_steps            10068        1006       10        1     0.4   20         1       80.328%    1.261%    80.328%    1.261%
intro_ingres_steps            10068        1006       10        1     0.4   35         1       80.537%    1.214%    80.537%    1.214%
intro_ingres_steps            10068        1006       10        1     0.4   50         1       80.755%    1.036%    80.755%    1.036%
intro_ingres_steps            10068        1006       10        1     0.6    5         1       79.891%    0.897%    79.891%    0.897%
intro_ingres_steps            10068        1006       10        1     0.6   20         1       80.636%    1.103%    80.636%    1.103%
intro_ingres_steps            10068        1006       10        1     0.6   35         1       79.901%    1.122%    79.901%    1.122%
intro_ingres_steps            10068        1006       10        1     0.6   50         1       80.517%    1.261%    80.517%    1.261%

訓練資料來源                訓練資料筆數  驗證資料筆數 訓練次數 驗證時k值  lr  epoch word_ngrams 精確度平均 精確度標準差 召回率平均 召回率標準差
name_intro_ingres_steps       10068        1006       10        1     0.2    5         1       79.811%    1.425%    79.811%    1.425%
name_intro_ingres_steps       10068        1006       10        1     0.2   20         1       81.064%    1.616%    81.064%    1.616%
name_intro_ingres_steps       10068        1006       10        1     0.2   35         1       80.855%    0.990%    80.855%    0.990%
name_intro_ingres_steps       10068        1006       10        1     0.2   50         1       80.676%    0.528%    80.676%    0.528%
name_intro_ingres_steps       10068        1006       10        1     0.4    5         1       81.143%    1.266%    81.143%    1.266%
name_intro_ingres_steps       10068        1006       10        1     0.4   20         1       80.477%    1.134%    80.477%    1.134%
name_intro_ingres_steps       10068        1006       10        1     0.4   35         1       81.093%    1.230%    81.093%    1.230%
name_intro_ingres_steps       10068        1006       10        1     0.4   50         1       80.974%    1.231%    80.974%    1.231%
name_intro_ingres_steps       10068        1006       10        1     0.6    5         1       81.024%    1.034%    81.024%    1.034%
name_intro_ingres_steps       10068        1006       10        1     0.6   20         1       80.686%    0.895%    80.686%    0.895%
name_intro_ingres_steps       10068        1006       10        1     0.6   35         1       80.785%    0.907%    80.785%    0.907%
name_intro_ingres_steps       10068        1006       10        1     0.6   50         1       80.805%    0.915%    80.805%    0.915%

