日式料理 => 中式料理 =>  蔥 牛肉 白飯 蛋 咖哩 香蕉 洋蔥片 胡蘿蔔 鮮奶油 無鹽奶油 P 蒸氣式IH 電子鍋重現竈釜的大火力與高溫蒸氣 在家煮飯時不像使用羽釜鍋得看天候濕度 也不需要特別的技術或技巧 只要按個按鈕 輕輕鬆鬆就煮出顆粒感十足 既香Q 又富彈性 適合搭配 取適量無鹽奶油入鍋 稍融化即加入蛋液 一邊加熱 一邊以筷子快速攪拌蛋液至成型 

西式料理 => 中式料理 =>  小番茄 不用去蒂頭 洗清後 就能隨時享用甜美多汁的玉女小蕃茄 

西式料理 => 中式料理 =>  蔥 杏鮑菇 梅花豬 杏鮑菇切滾刀塊後 乾鍋先煎出烙痕 起鍋備用 晶晶對蕈菇類食材的烹調 一向是使用乾鍋煎黃的方法 這樣最能散發出菇蕈的香味 醃肉片 以紅酒 綜合胡椒醃一下 蔥薑蒜切成末 原鍋下橄欖油 先煎肉片 肉片反白後 再下蔥薑蒜煎至香味飄散 下紅酒及巴薩米可醋以及鹽 大火拌幾下起鍋 趁著熱氣上騰中的酒香和醋香未散去 快快來品嘗吧 

西式料理 => 中式料理 =>  熱水 鳳梨 檸檬 奇異果 蘋果 紅茶 百香果 柚子果醬  1 蘋果 奇異果切片備用   2 檸檬 鳳梨切丁；百香果去殼取果肉備用   3 取一茶壺 放入紅茶包後以熱水沖泡   4 將水果 柚子醬 綜合纖維粉加入壺中攪拌均勻再視個人喜好加入冰糖攪拌至融即可 

西式料理 => 中式料理 =>  蛋 草莓果醬 吐司 奇異果 白柚 牛奶  1 先將雞蛋打散後加入鮮奶拌勻成蛋奶水 再將土司放入蛋奶水中泡軟   2 將作法1一片片疊起 中間放入新鮮水果作為內層夾餡   3 把作法2的土司放入預熱至150 的烤箱烤約8分鐘後取出   4 最後將作法3淋上草莓果醬 並將鮮奶油擠至一旁 食用時沾食即可 

